ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,322334,Antenatal care from a skilled provider,78,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWSKP,,1989,DHS,3559,3492,,,
KEN,704346,Antenatal care from a skilled provider,78,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWSKP,,1989,DHS,4237,4201,,,
KEN,296445,Antenatal care from a skilled provider,77.6,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWSKP,,1989,DHS,2701,2658,,,
KEN,62893,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,3559,0,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNUM,,1989,DHS,,3492,,,
KEN,717221,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,4237,0,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNUM,,1989,DHS,,4201,,,
KEN,62905,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,2701,0,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNUM,,1989,DHS,,2658,,,
KEN,322336,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),3492,0,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_UNW,83363140,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWUNW,,1989,DHS,3559,,,,
KEN,331469,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),4201,0,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_UNW,83363140,U,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWUNW,,1989,DHS,4237,,,,
KEN,296441,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),2658,0,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_UNW,83363140,U,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWUNW,,1989,DHS,2701,,,,
KEN,390722,Assistance during delivery: Doctor,16.7,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_DOC,83606010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACDOC,,1989,DHS,4388,4298,,,
KEN,439211,Assistance during delivery: Doctor,16.4,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_DOC,83606010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACDOC,,1989,DHS,7127,6980,,,
KEN,787159,Assistance during delivery: Doctor,17.6,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_DOC,83606010,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACDOC,,1989,DHS,2875,2836,,,
KEN,390727,Assistance during delivery: Nurse/midwife,33.8,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_NRS,83606020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACNRS,,1989,DHS,4388,4298,,,
KEN,439214,Assistance during delivery: Nurse/midwife,33.6,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_NRS,83606020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACNRS,,1989,DHS,7127,6980,,,
KEN,787164,Assistance during delivery: Nurse/midwife,34.3,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_NRS,83606020,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACNRS,,1989,DHS,2875,2836,,,
KEN,390723,Assistance during delivery: Traditional birth attendant,15,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_TBA,83606060,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACTBA,,1989,DHS,4388,4298,,,
KEN,439212,Assistance during delivery: Traditional birth attendant,14.3,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_TBA,83606060,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACTBA,,1989,DHS,7127,6980,,,
KEN,787160,Assistance during delivery: Traditional birth attendant,14.9,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_TBA,83606060,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACTBA,,1989,DHS,2875,2836,,,
KEN,390725,Assistance during delivery: Relative or other,22.3,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_REL,83606070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACREL,,1989,DHS,4388,4298,,,
KEN,439208,Assistance during delivery: Relative or other,23,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_REL,83606070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACREL,,1989,DHS,7127,6980,,,
KEN,787162,Assistance during delivery: Relative or other,21.4,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_REL,83606070,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACREL,,1989,DHS,2875,2836,,,
KEN,390724,Assistance during delivery: No one,11.6,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_NON,83606080,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACNON,,1989,DHS,4388,4298,,,
KEN,439213,Assistance during delivery: No one,11.7,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_NON,83606080,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACNON,,1989,DHS,7127,6980,,,
KEN,787161,Assistance during delivery: No one,11.6,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_NON,83606080,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACNON,,1989,DHS,2875,2836,,,
KEN,390726,Assistance during delivery: don't know or missing,0.5,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_DKM,83606090,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACDKM,,1989,DHS,4388,4298,,,
KEN,439209,Assistance during delivery: don't know or missing,0.8,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_DKM,83606090,S,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACDKM,,1989,DHS,7127,6980,,,
KEN,787163,Assistance during delivery: don't know or missing,0.3,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_DKM,83606090,S,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACDKM,,1989,DHS,2875,2836,,,
KEN,390720,Assistance during delivery: Total,100,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_TOT,83606100,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACTOT,,1989,DHS,4388,4298,,,
KEN,439210,Assistance during delivery: Total,100,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_TOT,83606100,T,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACTOT,,1989,DHS,7127,6980,,,
KEN,787157,Assistance during delivery: Total,100,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_TOT,83606100,T,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACTOT,,1989,DHS,2875,2836,,,
KEN,390721,Assistance during delivery from a skilled provider,50.6,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACSKP,,1989,DHS,4388,4298,,,
KEN,439215,Assistance during delivery from a skilled provider,50.1,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACSKP,,1989,DHS,7127,6980,,,
KEN,787158,Assistance during delivery from a skilled provider,51.9,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACSKP,,1989,DHS,2875,2836,,,
KEN,401411,Number of live births (or stillbirths) in the last two (or three/five) years,4388,0,KE,Kenya,1989,KE1989DHS,RH_DELA_C_NUM,83606130,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACNUM,,1989,DHS,,4298,,,
KEN,452888,Number of live births (or stillbirths) in the last two (or three/five) years,7127,0,KE,Kenya,1989,KE1989DHS,RH_DELA_C_NUM,83606130,D,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACNUM,,1989,DHS,,6980,,,
KEN,788262,Number of live births (or stillbirths) in the last two (or three/five) years,2875,0,KE,Kenya,1989,KE1989DHS,RH_DELA_C_NUM,83606130,D,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACNUM,,1989,DHS,,2836,,,
KEN,344509,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),4298,0,KE,Kenya,1989,KE1989DHS,RH_DELA_C_UNW,83606140,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACUNW,,1989,DHS,4388,,,,
KEN,342502,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),6980,0,KE,Kenya,1989,KE1989DHS,RH_DELA_C_UNW,83606140,U,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACUNW,,1989,DHS,7127,,,,
KEN,261753,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),2836,0,KE,Kenya,1989,KE1989DHS,RH_DELA_C_UNW,83606140,U,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACUNW,,1989,DHS,2875,,,,
KEN,697634,Antenatal care provider: Doctor,23.5,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWDOC,,1993,DHS,3103,3080,,,
KEN,595217,Antenatal care provider: Doctor,23.4,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWDOC,,1993,DHS,3936,3904,,,
KEN,62937,Antenatal care provider: Doctor,23,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWDOC,,1993,DHS,2307,2305,,,
KEN,697636,Antenatal care provider: Nurse/midwife,71.1,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNRS,,1993,DHS,3103,3080,,,
KEN,595218,Antenatal care provider: Nurse/midwife,71.4,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNRS,,1993,DHS,3936,3904,,,
KEN,62943,Antenatal care provider: Nurse/midwife,71.3,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNRS,,1993,DHS,2307,2305,,,
KEN,697637,Antenatal care provider: Other health worker,0.4,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_OHW,83363050,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWOHW,,1993,DHS,3103,3080,,,
KEN,595226,Antenatal care provider: Other health worker,0.3,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_OHW,83363050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWOHW,,1993,DHS,3936,3904,,,
KEN,62938,Antenatal care provider: Other health worker,0.5,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_OHW,83363050,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWOHW,,1993,DHS,2307,2305,,,
KEN,697638,Antenatal care provider: Traditional birth attendant,0.4,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTBA,,1993,DHS,3103,3080,,,
KEN,595227,Antenatal care provider: Traditional birth attendant,0.4,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWTBA,,1993,DHS,3936,3904,,,
KEN,62940,Antenatal care provider: Traditional birth attendant,0.5,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWTBA,,1993,DHS,2307,2305,,,
KEN,697635,Antenatal care provider: Other,0.1,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWOTH,,1993,DHS,3103,3080,,,
KEN,595224,Antenatal care provider: Other,0.1,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWOTH,,1993,DHS,3936,3904,,,
KEN,62941,Antenatal care provider: Other,0.2,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWOTH,,1993,DHS,2307,2305,,,
KEN,697643,Antenatal care provider: Missing ,0.2,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWMIS,,1993,DHS,3103,3080,,,
KEN,595219,Antenatal care provider: Missing ,0.3,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWMIS,,1993,DHS,3936,3904,,,
KEN,62944,Antenatal care provider: Missing ,0.2,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWMIS,,1993,DHS,2307,2305,,,
KEN,697642,No antenatal care,4.3,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNON,,1993,DHS,3103,3080,,,
KEN,595225,No antenatal care,4,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNON,,1993,DHS,3936,3904,,,
KEN,62942,No antenatal care,4.4,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNON,,1993,DHS,2307,2305,,,
KEN,697645,Antenatal care: Total,100,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTOT,,1993,DHS,3103,3080,,,
KEN,595220,Antenatal care: Total,100,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWTOT,,1993,DHS,3936,3904,,,
KEN,62949,Antenatal care: Total,100,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWTOT,,1993,DHS,2307,2305,,,
KEN,697644,Antenatal care from a skilled provider,94.6,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWSKP,,1993,DHS,3103,3080,,,
KEN,595221,Antenatal care from a skilled provider,94.8,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWSKP,,1993,DHS,3936,3904,,,
KEN,62928,Antenatal care from a skilled provider,94.3,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWSKP,,1993,DHS,2307,2305,,,
KEN,700948,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,3103,0,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNUM,,1993,DHS,,3080,,,
KEN,605883,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,3936,0,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNUM,,1993,DHS,,3904,,,
KEN,62927,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,2307,0,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNUM,,1993,DHS,,2305,,,
KEN,207989,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),3080,0,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_UNW,83363140,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWUNW,,1993,DHS,3103,,,,
KEN,324529,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),3904,0,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_UNW,83363140,U,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWUNW,,1993,DHS,3936,,,,
KEN,62936,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),2305,0,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_UNW,83363140,U,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWUNW,,1993,DHS,2307,,,,
KEN,62991,Place of delivery: Public sector,33,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_PUB,83566010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCPUB,,1993,DHS,3645,3655,,,
KEN,354403,Place of delivery: Public sector,33.8,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_PUB,83566010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCPUB,,1993,DHS,6128,6115,,,
KEN,596005,Place of delivery: Public sector,31.2,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_PUB,83566010,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCPUB,,1993,DHS,2408,2415,,,
KEN,62992,Place of delivery: Private sector,9.4,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_PRV,83566020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCPRV,,1993,DHS,3645,3655,,,
KEN,354405,Place of delivery: Private sector,10,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_PRV,83566020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCPRV,,1993,DHS,6128,6115,,,
KEN,596007,Place of delivery: Private sector,10.5,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_PRV,83566020,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCPRV,,1993,DHS,2408,2415,,,
KEN,62995,Place of delivery: At home,56.1,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_HOM,83566030,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCHOM,,1993,DHS,3645,3655,,,
KEN,354395,Place of delivery: At home,54.7,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_HOM,83566030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCHOM,,1993,DHS,6128,6115,,,
KEN,596008,Place of delivery: At home,56.6,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_HOM,83566030,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCHOM,,1993,DHS,2408,2415,,,
KEN,62996,Place of delivery: Other,1,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_OTH,83566040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCOTH,,1993,DHS,3645,3655,,,
KEN,354399,Place of delivery: Other,0.8,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_OTH,83566040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCOTH,,1993,DHS,6128,6115,,,
KEN,596009,Place of delivery: Other,1.3,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_OTH,83566040,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCOTH,,1993,DHS,2408,2415,,,
KEN,62997,Place of delivery: don't know or missing,0.5,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_DKM,83566050,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCDKM,,1993,DHS,3645,3655,,,
KEN,354400,Place of delivery: don't know or missing,0.7,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_DKM,83566050,S,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCDKM,,1993,DHS,6128,6115,,,
KEN,596010,Place of delivery: don't know or missing,0.4,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_DKM,83566050,S,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCDKM,,1993,DHS,2408,2415,,,
KEN,62993,Place of delivery: Total,100,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_TOT,83566060,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCTOT,,1993,DHS,3645,3655,,,
KEN,354404,Place of delivery: Total,100,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_TOT,83566060,T,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCTOT,,1993,DHS,6128,6115,,,
KEN,596006,Place of delivery: Total,100,1,KE,Kenya,1993,KE1993DHS,RH_DELP_C_TOT,83566060,T,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCTOT,,1993,DHS,2408,2415,,,
